ID,Sammlungs-ID,Marke,Name,Abfüllserie,Status,"Deklariertes Alter",Größe,Stärke,Einheit,Fasstyp,Liste,Bewertung,"Meine Bewertung","Bezahlter Preis",Währung,"Mittlerer preis","Währung Whisky",Destillerien,Jahrgang,"Hinzugefügt am",Bild,Auktionspreis:,"Währung Whisky",Notizen,Kaufort
16516,5053813,Jameson,"Irish Whiskey",,open,,1000,40.00,%vol,"Oak Casks",,73.99,,,,24.79,EUR,"Midleton (1975-)",,"2020-12-19 21:46:06",https://static.whiskybase.com/storage/whiskies/1/6/516/171419-normal.png,32,EUR,,
86249,5053818,"As We Get It","NAS IM","Islay Single Malt",open,,700,61.20,%vol,,,85.27,,,,50.17,EUR,,,"2020-12-19 21:47:21",https://static.whiskybase.com/storage/whiskies/8/6/249/135573-normal.png,48.4,EUR,,
131891,5053821,Smokehead,"Sherry Bomb IM","Limited Edition",open,,700,48.00,%vol,"Spanish Oloroso Sherry",,85.20,,,,69,EUR,,,"2020-12-19 21:48:27",https://static.whiskybase.com/storage/whiskies/1/3/1891/221569-normal.png,49.61,EUR,,
108686,5053826,"El Máximo","No. 10 Wx","Spirit & Cask Range",open,,700,65.50,%vol,"Sherry Cask",,82.50,,,,69,EUR,,08.2012,"2020-12-19 21:50:35",https://static.whiskybase.com/storage/whiskies/1/0/8686/185736-normal.png,46.2,EUR,,
58671,5053830,Ballechin,10-year-old,"The Discovery Series",open,10,700,46.00,%vol,"Ex-Bourbon + Oloroso Sherry",,83.26,,,,48.73,EUR,Edradour,,"2020-12-19 21:52:37",https://static.whiskybase.com/storage/whiskies/5/8/671/91979-normal.png,40.8,EUR,,
66055,5053840,Ledaig,18-year-old,"Limited Release",open,18,700,46.30,%vol,"Small Batch Spanish Sherry Wood Finish",,86.04,,,,249.99,EUR,Tobermory,,"2020-12-19 21:56:48",https://static.whiskybase.com/storage/whiskies/6/6/055/171405-normal.png,138.32,EUR,,
72841,5053842,"The Pogues","The Official Irish Whiskey of the Legendary Band",,open,3,700,40.00,%vol,"Oak Casks",,76.90,,,,29.8,EUR,"West Cork Distillers",,"2020-12-19 21:57:41",https://static.whiskybase.com/storage/whiskies/7/2/841/112742-normal.png,50.58,EUR,,
102607,5053851,Tullibardine,"2004 The Murray","The Marquess Collection",open,,700,46.00,%vol,"Châteauneuf-du-Pape Wine Casks Finish",,84.37,,,,54.9,EUR,Tullibardine,2004,"2020-12-19 21:59:20",https://static.whiskybase.com/storage/whiskies/1/0/2607/157235-normal.png,62.7,EUR,,
36319,5053854,"Old Ballantruan",10-year-old,"The Peated Malt",empty,10,700,50.00,%vol,,,83.34,,,,64.97,EUR,Tomintoul,,"2020-12-19 22:00:05",https://static.whiskybase.com/storage/whiskies/3/6/319/140187-normal.png,32.86,EUR,,
101439,5053857,Glenkinchie,12-year-old,"The Edinburgh Malt",open,12,200,43.00,%vol,,,77.88,,,,15.53,EUR,Glenkinchie,,"2020-12-19 22:00:39",https://static.whiskybase.com/storage/whiskies/1/0/1439/314775-normal.png,25.77,EUR,,
86883,5053861,"Port Charlotte",10-year-old,"Second Limited Edition",open,10,700,50.00,%vol,"Bourbon, Sherry, Tempranillo,French Wine Cask",,86.46,,,,123.17,EUR,Bruichladdich,,"2020-12-19 22:01:44",https://static.whiskybase.com/storage/whiskies/8/6/883/141262-normal.png,61.77,EUR,,
122002,5053865,Octomore,"Edition 08.4 Masterclass / 170 PPM","Virgin Oak",open,8,700,58.70,%vol,"Virgin Oak Casks",,88.43,,,,311.6,EUR,Bruichladdich,2009,"2020-12-19 22:03:49",https://static.whiskybase.com/storage/whiskies/1/2/2002/235784-normal.png,184.91,EUR,,
125825,5053871,Octomore,"Edition 07.1 / 208","Ochdamh-mòr 208 PPM",empty,5,700,59.50,%vol,"American Oak Casks",,87.59,,,,266.15,EUR,Bruichladdich,,"2020-12-19 22:05:37",https://static.whiskybase.com/storage/whiskies/1/2/5825/211871-normal.png,180.08,EUR,,
99307,5053878,Octomore,"Edition 08.3 Masterclass / 309 PPM","Islay Barley",empty,5,700,61.20,%vol,"56% Ex-Bourbon, 44% European Oak",,89.20,,,,996.45,EUR,Bruichladdich,2011,"2020-12-19 22:06:55",https://static.whiskybase.com/storage/whiskies/9/9/307/467210-normal.png,678.75,EUR,,
99307,5053892,Octomore,"Edition 08.3 Masterclass / 309 PPM","Islay Barley",open,5,700,61.20,%vol,"56% Ex-Bourbon, 44% European Oak",,89.20,,,,996.45,EUR,Bruichladdich,2011,"2020-12-19 22:10:57",https://static.whiskybase.com/storage/whiskies/9/9/307/467210-normal.png,678.75,EUR,,
43463,5053903,Octomore,"Edition 06.1 / 167","Scottish Barley",empty,5,700,57.00,%vol,"American Oak Casks",,86.64,,,,242,EUR,Bruichladdich,,"2020-12-19 22:13:19",https://static.whiskybase.com/storage/whiskies/4/3/463/79058-normal.png,140.57,EUR,,
63360,5053909,Octomore,"Edition 07.2 / 208","Ochdamh-mòr 208 PPM",empty,5,700,58.50,%vol,"American Oak + Rhône Syrah Wine Casks",,87.49,,,,409.66,EUR,Bruichladdich,,"2020-12-19 22:14:53",https://static.whiskybase.com/storage/whiskies/6/3/360/104156-normal.png,173.06,EUR,,
125825,5053929,Octomore,"Edition 07.1 / 208","Ochdamh-mòr 208 PPM",empty,5,700,59.50,%vol,"American Oak Casks",,87.59,,,,266.15,EUR,Bruichladdich,,"2020-12-19 22:19:08",https://static.whiskybase.com/storage/whiskies/1/2/5825/211871-normal.png,180.08,EUR,,
182639,5053950,Octomore,"Edition 07.3 / 169","Islay Barley - Lorgba Field, Octomore Farm",closed,5,700,63.00,%vol,"Bourbon Barrels & Ribera del Duero Wine Casks",,89.61,,,,208.51,EUR,Bruichladdich,2010,"2020-12-19 22:25:06",https://static.whiskybase.com/storage/whiskies/1/8/2639/213422-normal.png,210.24,EUR,,
182639,5053954,Octomore,"Edition 07.3 / 169","Islay Barley - Lorgba Field, Octomore Farm",closed,5,700,63.00,%vol,"Bourbon Barrels & Ribera del Duero Wine Casks",,89.61,,,,208.51,EUR,Bruichladdich,2010,"2020-12-19 22:28:06",https://static.whiskybase.com/storage/whiskies/1/8/2639/213422-normal.png,210.24,EUR,,
4112,5053962,Mortlach,"1957 GM","Private Collection",open,50,700,43.50,%vol,"1st Fill Sherry Butts",,92.68,,500.00,EUR,6415.24,EUR,Mortlach,26.01.1957,"2020-12-19 22:30:45",https://static.whiskybase.com/storage/whiskies/4/1/12/175463-normal.png,2899.6,EUR,,
11172,5053976,Bowmore,Tempest,"Small Batch Release No. 1",open,10,700,55.30,%vol,"First Fill Bourbon",,86.54,,,,207,EUR,Bowmore,,"2020-12-19 22:36:11",https://static.whiskybase.com/storage/whiskies/1/1/172/339662-normal.png,105.84,EUR,,
168173,5053983,Glenmorangie,10-year-old,"The Original - Giraffe",open,10,700,40.00,%vol,"1st & 2nd Fill American White Oak ex-Bourbon",,81.54,,,,43.34,EUR,Glenmorangie,,"2020-12-19 22:38:48",https://static.whiskybase.com/storage/whiskies/1/6/8173/286892-normal.png,32.79,EUR,,
112753,5053986,Tormore,"13-year-old GM",Discovery,open,13,700,43.00,%vol,Bourbon,,83.60,,,,59.5,EUR,Tormore,,"2020-12-19 22:39:44",https://static.whiskybase.com/storage/whiskies/1/1/2753/251086-normal.png,52.67,EUR,,
105501,5053990,Bowmore,15-year-old,Darkest,open,15,700,43.00,%vol,"Bourbon + Oloroso Sherry Finish",,85.21,,,,47.99,EUR,Bowmore,,"2020-12-19 22:41:29",https://static.whiskybase.com/storage/whiskies/1/0/5501/175217-normal.png,84.24,EUR,,
80446,5053995,BenRiach,12-year-old,,empty,12,700,43.00,%vol,,,74.50,,,,79,EUR,BenRiach,,"2020-12-19 22:42:27",https://static.whiskybase.com/storage/whiskies/8/0/446/124031-normal.png,,,,
155998,5054010,Bunnahabhain,"08-year-old GM","The MacPhail's Collection",open,8,700,43.00,%vol,,,83.00,,,,100,USD,Bunnahabhain,,"2020-12-19 22:46:32",https://static.whiskybase.com/storage/whiskies/1/5/5998/261101-normal.png,44.95,EUR,,
163748,5054013,Edradour,12-year-old,"Caledonia Selection",open,12,750,46.00,%vol,"Oloroso Sherry Cask Finish",,84.83,,,,85.5,USD,Edradour,,"2020-12-19 22:47:32",https://static.whiskybase.com/storage/whiskies/1/6/3748/277573-normal.png,57.43,EUR,,
20648,5054016,Bowmore,"1989 MM","Mission Gold",empty,21,700,54.50,%vol,Sherry,,88.50,,,,83,EUR,Bowmore,1989,"2020-12-19 22:49:03",https://static.whiskybase.com/storage/whiskies/2/0/648/68873-normal.png,,,,
70596,5054024,Laphroaig,21-year-old,"Friends of Laphroaig",open,21,350,48.40,%vol,"1st Fill Ex-Bourbon Barrels",,90.05,,,,295.76,EUR,Laphroaig,1993,"2020-12-19 22:50:04",https://static.whiskybase.com/storage/whiskies/7/0/596/424698-normal.png,161.32,EUR,,
34698,5054028,Auchroisk,"1998 C&S","Dram Collection",open,13,700,57.30,%vol,Hogshead,,84.31,,,,57,EUR,Auchroisk,21.10.1998,"2020-12-19 22:51:45",https://static.whiskybase.com/storage/whiskies/3/4/698/75026-normal.png,33.35,EUR,,
77828,5054033,Bruichladdich,"The Classic Laddie","Scottish Barley",open,,700,50.00,%vol,"American & French oak",,82.75,,,,54.78,EUR,Bruichladdich,,"2020-12-19 22:54:35",https://static.whiskybase.com/storage/whiskies/7/7/828/122260-normal.png,43.43,EUR,,
84875,5054053,Ardbeg,"2001 IM","Dun Bheagan",open,15,700,47.00,%vol,Barrels,,87.79,,,,286.05,EUR,Ardbeg,05.2001,"2020-12-19 23:01:51",https://static.whiskybase.com/storage/whiskies/8/4/875/135075-normal.png,169.7,EUR,,
31650,5054057,anCnoc,1998,,open,,700,46.00,%vol,,,83.50,,,,80.95,EUR,Knockdhu,1998,"2020-12-19 23:02:58",https://static.whiskybase.com/storage/whiskies/3/1/650/73667-normal.png,48.95,EUR,,
